	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
a	4	0	-4	1	0	-2	2	-2	1	3	-4	-2	3	0	-2	-2	0	-1	-2	1	-3	-1	-1	-2	-5	-5
b	0	6	3	-4	1	1	3	2	2	2	3	1	0	-2	0	-3	-4	-3	2	0	-2	-4	3	1	-3	-3
c	-4	3	4	-2	0	-4	-1	3	-2	-5	-4	0	1	2	-1	1	2	1	0	2	0	0	1	-1	-1	-5
d	1	-4	-2	5	-3	2	3	-2	-4	-3	-2	1	-2	0	-3	-2	0	-5	-4	-3	0	-2	0	-4	-1	1
e	0	1	0	-3	6	-4	3	0	3	2	-1	-4	2	2	-1	1	-1	0	-5	3	-5	0	-5	3	-2	2
f	-2	1	-4	2	-4	8	-1	-4	1	-5	1	-1	-3	-3	-4	2	0	-4	-3	3	-5	0	0	-3	0	-3
g	2	3	-1	3	3	-1	7	2	1	-1	-3	1	3	1	-4	-1	-4	1	2	3	2	0	2	-5	1	-5
h	-2	2	3	-2	0	-4	2	8	-4	-1	2	2	3	3	0	1	-2	-5	1	-4	-2	0	-2	1	-4	-2
i	1	2	-2	-4	3	1	1	-4	8	1	-4	2	2	-4	-3	2	-5	-5	-2	-5	-1	-1	-3	1	0	0
j	3	2	-5	-3	2	-5	-1	-1	1	9	-4	-4	-3	2	-5	-1	-2	1	-3	-1	2	0	-4	2	-3	-2
k	-4	3	-4	-2	-1	1	-3	2	-4	-4	10	1	-3	-4	-5	2	-4	-4	-3	1	-5	0	-3	0	0	2
l	-2	1	0	1	-4	-1	1	2	2	-4	1	7	-2	-5	0	0	-4	0	-1	-1	-5	-5	3	0	-5	2
m	3	0	1	-2	2	-3	3	3	2	-3	-3	-2	5	-4	1	2	-2	0	0	-5	3	-1	-2	3	1	-4
n	0	-2	2	0	2	-3	1	3	-4	2	-4	-5	-4	9	-2	0	1	0	0	-1	-5	-5	-1	-3	0	-5
o	-2	0	-1	-3	-1	-4	-4	0	-3	-5	-5	0	1	-2	4	-1	2	-3	0	0	3	-3	2	0	-5	-3
p	-2	-3	1	-2	1	2	-1	1	2	-1	2	0	2	0	-1	4	0	-2	-4	-1	3	3	-1	0	-1	-4
q	0	-4	2	0	-1	0	-4	-2	-5	-2	-4	-4	-2	1	2	0	5	-1	-2	-5	-4	-3	-4	-2	2	2
r	-1	-3	1	-5	0	-4	1	-5	-5	1	-4	0	0	0	-3	-2	-1	9	2	3	-5	-3	-5	-3	3	-3
s	-2	2	0	-4	-5	-3	2	1	-2	-3	-3	-1	0	0	0	-4	-2	2	4	-1	3	3	-3	-2	-3	1
t	1	0	2	-3	3	3	3	-4	-5	-1	1	-1	-5	-1	0	-1	-5	3	-1	9	-4	-4	-2	1	-3	2
u	-3	-2	0	0	-5	-5	2	-2	-1	2	-5	-5	3	-5	3	3	-4	-5	3	-4	9	1	-3	3	0	-5
v	-1	-4	0	-2	0	0	0	0	-1	0	0	-5	-1	-5	-3	3	-3	-3	3	-4	1	8	-3	0	-4	2
w	-1	3	1	0	-5	0	2	-2	-3	-4	-3	3	-2	-1	2	-1	-4	-5	-3	-2	-3	-3	9	-3	3	0
x	-2	1	-1	-4	3	-3	-5	1	1	2	0	0	3	-3	0	0	-2	-3	-2	1	3	0	-3	8	-1	-4
y	-5	-3	-1	-1	-2	0	1	-4	0	-3	0	-5	1	0	-5	-1	2	3	-3	-3	0	-4	3	-1	4	1
z	-5	-3	-5	1	2	-3	-5	-2	0	-2	2	2	-4	-5	-3	-4	2	-3	1	2	-5	2	0	-4	1	8
