	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
a	6	-2	3	-1	2	0	2	2	-4	-4	-5	1	1	-2	-3	3	-2	-3	3	-3	1	1	1	-5	-4	2
b	-2	6	3	-4	3	-2	0	-1	-1	-3	-1	-2	-1	-3	-4	-5	-2	-4	-3	-1	0	-2	-5	-5	2	3
c	3	3	7	-4	0	2	1	-5	-2	0	0	-1	-5	-1	-5	-2	-1	-1	2	0	-5	-3	1	-1	-2	-1
d	-1	-4	-4	5	1	-3	-1	1	-4	-5	-1	-4	-3	-4	-2	-4	-1	-5	2	-4	-5	-3	-5	-2	0	-2
e	2	3	0	1	4	0	3	-5	2	0	1	-4	3	3	2	-1	-3	-1	3	-2	-4	3	-2	2	0	-1
f	0	-2	2	-3	0	6	-4	2	-2	-3	3	-2	-4	-5	-1	-1	1	-2	-3	3	0	1	0	3	-4	-4
g	2	0	1	-1	3	-4	10	2	3	-3	0	1	3	-1	-4	-5	-5	1	-1	-1	-4	0	2	-5	-3	0
h	2	-1	-5	1	-5	2	2	9	-5	1	-1	-2	-5	2	2	0	3	3	3	-4	0	0	-2	0	-4	-1
i	-4	-1	-2	-4	2	-2	3	-5	8	2	-5	1	2	2	-4	-5	-1	-4	-1	-3	-5	0	-2	-2	-2	-5
j	-4	-3	0	-5	0	-3	-3	1	2	6	-1	-5	1	3	-5	3	-4	-5	2	-4	-3	0	3	-3	-4	-5
k	-5	-1	0	-1	1	3	0	-1	-5	-1	7	3	-3	1	-5	-4	-5	2	-5	-1	-2	-5	-3	0	1	2
l	1	-2	-1	-4	-4	-2	1	-2	1	-5	3	10	-3	-3	-1	-4	-2	3	-4	-4	-3	-2	-3	-5	-4	-1
m	1	-1	-5	-3	3	-4	3	-5	2	1	-3	-3	8	3	3	1	2	-1	2	-4	-2	-2	0	1	-5	-1
n	-2	-3	-1	-4	3	-5	-1	2	2	3	1	-3	3	4	-4	-4	-1	1	-1	-1	-2	-5	2	-1	0	0
o	-3	-4	-5	-2	2	-1	-4	2	-4	-5	-5	-1	3	-4	8	2	3	-1	-5	0	-3	1	-5	3	2	1
p	3	-5	-2	-4	-1	-1	-5	0	-5	3	-4	-4	1	-4	2	8	3	0	2	0	0	1	3	3	-5	3
q	-2	-2	-1	-1	-3	1	-5	3	-1	-4	-5	-2	2	-1	3	3	8	-5	2	0	-5	-3	3	-2	-2	-5
r	-3	-4	-1	-5	-1	-2	1	3	-4	-5	2	3	-1	1	-1	0	-5	9	-4	-5	-1	-4	2	-5	-1	-2
s	3	-3	2	2	3	-3	-1	3	-1	2	-5	-4	2	-1	-5	2	2	-4	9	3	2	-5	0	3	1	-2
t	-3	-1	0	-4	-2	3	-1	-4	-3	-4	-1	-4	-4	-1	0	0	0	-5	3	9	-2	-2	-2	-4	-5	-4
u	1	0	-5	-5	-4	0	-4	0	-5	-3	-2	-3	-2	-2	-3	0	-5	-1	2	-2	4	-5	-2	-1	2	2
v	1	-2	-3	-3	3	1	0	0	0	0	-5	-2	-2	-5	1	1	-3	-4	-5	-2	-5	6	-4	-2	0	3
w	1	-5	1	-5	-2	0	2	-2	-2	3	-3	-3	0	2	-5	3	3	2	0	-2	-2	-4	8	3	-1	-1
x	-5	-5	-1	-2	2	3	-5	0	-2	-3	0	-5	1	-1	3	3	-2	-5	3	-4	-1	-2	3	10	-5	-2
y	-4	2	-2	0	0	-4	-3	-4	-2	-4	1	-4	-5	0	2	-5	-2	-1	1	-5	2	0	-1	-5	9	-4
z	2	3	-1	-2	-1	-4	0	-1	-5	-5	2	-1	-1	0	1	3	-5	-2	-2	-4	2	3	-1	-2	-4	4
